Date,Price,Open,High,Low,Change %
20/10/2017,4587.50,4380.70,4644.30,4327.80,4.72
21/10/2017,4616.30,4587.50,4734.10,4482.10,0.63
22/10/2017,4588.30,4616.30,4644.10,4403.70,-0.61
23/10/2017,4509.20,4588.30,4610.00,4323.60,-1.72
24/10/2017,4251.20,4509.20,4515.00,4200.10,-5.72
25/10/2017,4372.20,4251.20,4399.90,4134.00,2.85
26/10/2017,4531.90,4372.20,4570.90,4337.50,3.65
27/10/2017,4450.50,4531.90,4600.00,4384.90,-1.80
28/10/2017,4426.70,4450.50,4521.40,4396.40,-0.53
29/10/2017,4696.10,4426.70,4750.00,4397.70,6.08
30/10/2017,4681.60,4703.60,4757.60,4617.00,-0.31
31/10/2017,4889.20,4681.60,4890.00,4652.50,4.43
01/11/2017,5168.80,4889.20,5168.80,4841.40,5.72
02/11/2017,5453.10,5168.80,5687.70,5100.00,5.50
03/11/2017,5551.60,5453.10,5761.00,5382.00,1.81
04/11/2017,5700.00,5551.60,5783.10,5414.90,2.67
05/11/2017,5718.50,5700.00,5899.10,5634.00,0.32
06/11/2017,5324.40,5722.30,5734.00,5286.00,-6.89
07/11/2017,5454.70,5341.90,5553.20,5327.20,2.45
08/11/2017,5750.40,5455.70,6069.60,5399.60,5.42
09/11/2017,5480.30,5750.30,5751.90,5440.90,-4.70
10/11/2017,5040.00,5498.20,5600.00,4824.00,-8.03
11/11/2017,4858.70,5040.00,5279.00,4701.40,-3.60
12/11/2017,4531.30,4859.90,4964.30,4201.00,-6.74
13/11/2017,5025.00,4531.30,5280.00,4501.80,10.89
14/11/2017,5066.20,5023.80,5189.70,4974.00,0.82
15/11/2017,5586.60,5070.20,5600.00,5070.20,10.27
16/11/2017,5999.00,5586.60,6049.00,5464.00,7.38
17/11/2017,5875.80,5998.00,6100.00,5730.00,-2.05
18/11/2017,5942.90,5862.80,5980.00,5701.00,1.14
19/11/2017,6080.10,5942.90,6095.40,5872.00,2.31
